"","res"
"1","Calle Alberto Carrera Torres 1301, Residencial Selectas, 87050 Cd Victoria, Tamps., Mexico"
"2","3 E State St, Montpelier, VT 05602, USA"
"3","201 6th Ave N, Nashville, TN 37219, USA"
"4","av. general lazaro cardenas mza 6 lote A col. presidentes de, Mexico"
"5","av. general lazaro cardenas mza 6 lote A col. presidentes de, Mexico"
"6","11 Centre St, New York, NY 10007, USA"
"7","201 6th Ave N, Nashville, TN 37219, USA"
"8","5000 Estate Enighed, Independence, KS 67301, USA"
"9","1218 Main St, Holden, MA 01520, USA"
"10","201 E Fayette St, Baltimore, MD 21202, USA"
"11","Aeropuerto Mas Cerca A Lowell massachusrtts, Sudbury, MA 01776, USA"
"12","Aeropuerto Mas Cerca A Lowell massachusrtts, Sudbury, MA 01776, USA"
"13","Aeropuerto Mas Cerca A Lowell massachusrtts, Sudbury, MA 01776, USA"
"14","10 W M.L.K. Blvd, Chattanooga, TN 37402, USA"
"15","58000, Juan Álvarez 150, Centro Histórico, Morelia, Mich., Mexico"
"16","58000, Juan Álvarez 150, Centro Histórico, Morelia, Mich., Mexico"
"17","Historic center of Mexico City, Centro, Mexico City, CDMX, Mexico"
"18","Historic center of Mexico City, Centro, Mexico City, CDMX, Mexico"
"19","5000 Estate Enighed, Independence, KS 67301, USA"
"20","5000 Estate Enighed, Independence, KS 67301, USA"
"21","Bernardo Quintana 90, Centro, 76000 Santiago de Querétaro, Qro., Mexico"
"22","1175-1177 Goldfinch Ln, Millersville, MD 21108, USA"
"23","Historic center of Mexico City, Centro, Mexico City, CDMX, Mexico"
"24","Lehmustie 104, 41880 Jyväskylä, Finland"
"25","Lehmustie 104, 41880 Jyväskylä, Finland"
"26","Lehmustie 104, 41880 Jyväskylä, Finland"
"27","Lehmustie 104, 41880 Jyväskylä, Finland"
"28","50 Stockbridge Rd, Great Barrington, MA 01230, USA"
"29","690 Boulevard René-Lévesque O, Montréal, QC H3B 1X8, Canada"
"30","432 Cleveland St, Clearwater, FL 33755, USA"
"31","201 E Main St, Durham, NC 27701, USA"
"32","100 Queen St W, Toronto, ON M5G 1P5, Canada"
"33","7498 Wisconsin Ave, Bethesda, MD 20814, USA"
"34","7498 Wisconsin Ave, Bethesda, MD 20814, USA"
"35","7498 Wisconsin Ave, Bethesda, MD 20814, USA"
"36","7498 Wisconsin Ave, Bethesda, MD 20814, USA"
"37","Vasconcelos 4, Centro, 69800 Tlaxco, Oax., Mexico"
"38","Pinehouse, SK S0J 2B0, Canada"
"39","5000 Estate Enighed, Independence, KS 67301, USA"
"40","5000 Estate Enighed, Independence, KS 67301, USA"
"41","8121 US-29, Silver Spring, MD 20910, USA"
"42","1500 PA-3, Philadelphia, PA 19102, USA"
"43","1502 Marilla St, Dallas, TX 75201, USA"
"44","400 E Wisconsin Ave, Milwaukee, WI 53202, USA"
"45",NA
"46","70 Raglan Rd ON, Cambridge, MA 02138, United States"
"47","5 Niagara Square, Buffalo, NY 14202, USA"
"48","Rochester Hotels, Rochester, MN 55902, USA"
"49","Rochester Hotels, Rochester, MN 55902, USA"
"50","7498 Wisconsin Ave, Bethesda, MD 20814, USA"
"51","Marston Cyclepath, Oxford OX1 3JA, UK"
"52","400 E Wisconsin Ave, Milwaukee, WI 53202, USA"
"53","400 E Wisconsin Ave, Milwaukee, WI 53202, USA"
"54","622 Buckingham St, Watertown, CT 06779, USA"
"55","1213 Brickell Ave, Miami, FL 33131, USA"
"56","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"57","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"58","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"59","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"60","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"61","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"62","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"63","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"64","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"65","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"66","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"67","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"68","Moll d'Espanya, 5, 08039 Barcelona, Spain"
"69","Moll d'Espanya, 5, 08039 Barcelona, Spain"
"70","Grainger Hall of Business Administration, Madison, WI 53715, USA"
"71","10 W M.L.K. Blvd, Chattanooga, TN 37402, USA"
"72","Dieselstraße, 85098 Großmehring, Germany"
"73","70 Raglan Rd ON, Cambridge, MA 02138, United States"
"74","Puente Nacional, Ver., Mexico"
"75","2 W Roadway, Cleveland, OH 44113, USA"
"76","3813 Hoffman Rd, Wentzville, MO 63385, USA"
"77","572-598 Grant St, Pittsburgh, PA 15219, USA"
"78","326 Main St, Norwich, VT 05055, USA"
"79","326 Main St, Norwich, VT 05055, USA"
"80","5000 Estate Enighed, Independence, KS 67301, USA"
"81","5000 Estate Enighed, Independence, KS 67301, USA"
"82","5000 Estate Enighed, Independence, KS 67301, USA"
"83","5000 Estate Enighed, Independence, KS 67301, USA"
"84","5000 Estate Enighed, Independence, KS 67301, USA"
"85","5000 Estate Enighed, Independence, KS 67301, USA"
"86","5000 Estate Enighed, Independence, KS 67301, USA"
"87","5000 Estate Enighed, Independence, KS 67301, USA"
"88","5000 Estate Enighed, Independence, KS 67301, USA"
"89","5000 Estate Enighed, Independence, KS 67301, USA"
"90","5000 Estate Enighed, Independence, KS 67301, USA"
"91","5000 Estate Enighed, Independence, KS 67301, USA"
"92","5000 Estate Enighed, Independence, KS 67301, USA"
"93","5000 Estate Enighed, Independence, KS 67301, USA"
"94","5000 Estate Enighed, Independence, KS 67301, USA"
"95","5000 Estate Enighed, Independence, KS 67301, USA"
"96","5000 Estate Enighed, Independence, KS 67301, USA"
"97","5000 Estate Enighed, Independence, KS 67301, USA"
"98","Av Cordillera de Los Andes 135, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico"
"99","Av Cordillera de Los Andes 135, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico"
"100","Av Cordillera de Los Andes 135, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico"
"101","Av Cordillera de Los Andes 135, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico"
"102","Av Cordillera de Los Andes 135, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico"
"103","800 S Meridian, Puyallup, WA 98371, USA"
"104","Georgia State Capitol, Atlanta, GA 30334, USA"
"105","Georgia State Capitol, Atlanta, GA 30334, USA"
"106","Georgia State Capitol, Atlanta, GA 30334, USA"
"107","Georgia State Capitol, Atlanta, GA 30334, USA"
"108","38 Dunbarton Rd, Concord, NH 03301, USA"
"109","1200 Oak St, Kansas City, MO 64106, USA"
"110","1200 Oak St, Kansas City, MO 64106, USA"
"111","36 Court St, Springfield, MA 01103, USA"
"112","Ghan NT 0872, Australia"
"113","102 E Main St, Fredericksburg, TX 78624, USA"
"114","San Bernardino County, CA, USA"
"115","770 S Interstate 35, New Braunfels, TX 78130, USA"
"116","Miguel Alemán 655B, Lomas de la Soledad, 98040 Zacatecas, Zac., Mexico"
"117","Miguel Alemán 655B, Lomas de la Soledad, 98040 Zacatecas, Zac., Mexico"
"118","3545 Market St, Youngstown, OH 44503, USA"
"119","2630 Croydon Drive, Sanger, CA 93657, USA"
"120","Froste Ln, Winters, TX 79567, USA"
"121","141 E Manchester Blvd, Inglewood, CA 90301, USA"
"122","5000 Estate Enighed, Independence, KS 67301, USA"
"123","Nadadores, Coah., Mexico"
"124","Grainger Hall of Business Administration, Madison, WI 53715, USA"
"125","Grainger Hall of Business Administration, Madison, WI 53715, USA"
"126","Grainger Hall of Business Administration, Madison, WI 53715, USA"
"127","Grainger Hall of Business Administration, Madison, WI 53715, USA"
"128","50 Stockbridge Rd, Great Barrington, MA 01230, USA"
"129","2 E 3rd Ave, San Mateo, CA 94401, USA"
"130","314 Shorecrest Ln, Linden, PA 17744, USA"
"131","314 Shorecrest Ln, Linden, PA 17744, USA"
"132","314 Shorecrest Ln, Linden, PA 17744, USA"
"133","18 N 3rd St, Temple, TX 76501, USA"
"134","Rocky Mountain Plaza, 615 Macleod Trail SE, Calgary, AB T2G 2M1, Canada"
"135","Nye County, NV, USA"
"136","998 Fourth Ave, San Diego, CA 92101, USA"
"137","Unnamed Road, Jamaica"
"138","1129 US-151 BUS, Marion, IA 52302, USA"
"139","Froste Ln, Winters, TX 79567, USA"
"140","20000, Calle Gral. Ignacio Zaragoza 419, Zona Centro, Aguascalientes, Ags., Mexico"
"141","New Hope, NC, USA"
"142","av. general lazaro cardenas mza 6 lote A col. presidentes de, Mexico"
"143","av. general lazaro cardenas mza 6 lote A col. presidentes de, Mexico"
"144","622 Buckingham St, Watertown, CT 06779, USA"
"145","622 Buckingham St, Watertown, CT 06779, USA"
"146","622 Buckingham St, Watertown, CT 06779, USA"
"147","622 Buckingham St, Watertown, CT 06779, USA"
"148","622 Buckingham St, Watertown, CT 06779, USA"
"149","622 Buckingham St, Watertown, CT 06779, USA"
"150","Los Bravo 45, Centro, 62740 Cuautla, Mor., Mexico"
"151","Los Bravo 45, Centro, 62740 Cuautla, Mor., Mexico"
"152","711 27th St, Galveston, TX 77550, USA"
"153","10995 Co Rd 8150, Rolla, MO 65401, USA"
"154","34400 Central Oregon Hwy, Brothers, OR 97712, USA"
"155","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"156","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"157","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"158","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"159","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"160","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"161","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"162","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"163","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"164","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"165","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"166","2417 Russellville Rd, Bowling Green, KY 42101, USA"
"167","Ghan NT 0872, Australia"
"168","Ontario P0T, Canada"
"169","Ontario P0T, Canada"
"170","Ontario P0T, Canada"
"171","Ontario P0T, Canada"
"172","7 Sur - 15 Pte., Centro, 72000 Puebla, Pue., Mexico"
"173","Transversal Colón 1947, Col Obrera, Sarabia, 64490 Monterrey, N.L., Mexico"
"174","Cartago Province, Costa Rica"
"175","Calakmul Municipality, Campeche, Mexico"
"176","720n N Ocean St, Jacksonville, FL 32202, USA"
"177","101 S Main Ave, Sioux Falls, SD 57104, USA"
"178","av. general lazaro cardenas mza 6 lote A col. presidentes de, Mexico"
"179","Calle principal, Centro, Santa Cruz, Tihuixte, Oax., Mexico"
"180",NA
"181","4134 Fish Hatchery Rd, Gaston, SC 29053, USA"
"182","203 Berkley St, Radford, VA 24141, USA"
"183","Guadalupe Victoria 19, Teotihuacan Centro, 55800 San Juan Teotihuacan de Arista, Méx., Mexico"
"184",NA
"185","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
"186","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
"187","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
"188","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
"189","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
"190","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
"191","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
"192","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
"193","Av. del Tesoro 1507, La Aurora, 45080 Zapopan, Jal., Mexico"
